onset	duration	trial_type	stimfile
0.02	15	nullosevent	room7_cond0_B.mov
15.02	2.5	room6	room6_cond7_A.mov
18.03	3.5	nullosevent	room5_cond0_B.mov
21.02	2.5	room4	room4_cond10_A.mov
24.03	3.5	nullosevent	room8_cond0_B.mov
27.02	2.5	room2	room2_cond6_A.mov
30.05	3.5	nullosevent	room1_cond0_B.mov
33.01	2.5	room3	room3_cond8_A.mov
36.01	3.5	nullosevent	room4_cond0_B.mov
39.01	2.5	room7	room7_cond4_A.mov
42.05	5.5	nullosevent	room3_cond0_B.mov
47.01	2.5	room6	room6_cond5_A.mov
50.04	7.5	nullosevent	room1_cond0_B.mov
57.01	2.5	room5	room5_cond12_A_right.mov
60.01	3.5	nullosevent	room2_cond0_B.mov
63.01	2.5	room8	room8_cond9_A.mov
66.04	3.5	nullosevent	room1_cond0_B.mov
69.01	2.5	room3	room3_cond2_A.mov
72.04	3.5	nullosevent	room6_cond0_B.mov
75.01	2.5	room5	room5_cond11_A_left.mov
78.04	9.5	nullosevent	room8_cond0_B.mov
87.02	2.5	room7	room7_cond3_A.mov
90	3.5	nullosevent	room2_cond0_B.mov
93.02	2.5	onebacktril	room7_cond3_A.mov
96	3.5	nullosevent	room1_cond0_B.mov
99.02	2.5	room5	room5_cond13_A_left.mov
102	3.5	nullosevent	room3_cond0_B.mov
105.02	2.5	room8	room8_cond6_A.mov
108.03	3.5	nullosevent	room4_cond0_B.mov
111.02	2.5	room2	room2_cond10_A.mov
114	5.5	nullosevent	room7_cond0_B.mov
119.02	2.5	room6	room6_cond9_A.mov
122.03	9.5	nullosevent	room2_cond0_B.mov
131.01	2.5	room4	room4_cond13_A_left.mov
134.01	3.5	nullosevent	room7_cond0_B.mov
137.01	2.5	room8	room8_cond9_A.mov
140.03	3.5	nullosevent	room1_cond0_B.mov
143.01	2.5	room6	room6_cond5_A.mov
146.03	7.5	nullosevent	room5_cond0_B.mov
153.01	2.5	room3	room3_cond1_A.mov
156.03	3.5	nullosevent	room5_cond0_B.mov
159.01	2.5	room7	room7_cond6_A.mov
162.04	3.5	nullosevent	room8_cond0_B.mov
165.01	2.5	room1	room1_cond11_A_left.mov
168.02	3.5	nullosevent	room3_cond0_B.mov
171.01	2.5	room2	room2_cond13_A_left.mov
174.01	3.5	nullosevent	room4_cond0_B.mov
177.01	2.5	room6	room6_cond14_A_right.mov
180.02	5.5	nullosevent	room8_cond0_B.mov
185.02	2.5	room6	room6_cond7_A.mov
