onset	duration	trial_type	stimfile
0	15	nullosevent	room6_cond0_B.mov
15.08	2.5	room4	room4_cond4_A.mov
18.14	5.5	nullosevent	room8_cond0_B.mov
23.08	2.5	room1	room1_cond3_A.mov
26.08	3.5	nullosevent	room2_cond0_B.mov
29.08	2.5	room3	room3_cond8_A.mov
32.08	3.5	nullosevent	room7_cond0_B.mov
35.08	2.5	room5	room5_cond12_A_right.mov
38.1	5.5	nullosevent	room5_cond0_B.mov
43.01	2.5	fix	fix
45.51	5.5	nullosevent	room2_cond0_B.mov
51.08	2.5	room6	room6_cond7_A.mov
54.06	3.5	nullosevent	room3_cond0_B.mov
57.08	2.5	room8	room8_cond4_A.mov
60.09	5.5	nullosevent	room1_cond0_B.mov
65.01	2.5	fix	fix
67.51	3.5	nullosevent	room7_cond0_B.mov
71.07	2.5	room1	room1_cond6_A.mov
74.11	7.5	nullosevent	room2_cond0_B.mov
81.07	2.5	room6	room6_cond14_A_right.mov
84.09	3.5	nullosevent	room5_cond0_B.mov
87.07	2.5	room4	room4_cond3_A.mov
90.1	5.5	nullosevent	room8_cond0_B.mov
95.07	2.5	room3	room3_cond5_A.mov
98.09	3.5	nullosevent	room6_cond0_B.mov
101.07	2.5	room1	room1_cond10_A.mov
104.07	9.5	nullosevent	room4_cond0_B.mov
113.07	2.5	room2	room2_cond2_A.mov
116.1	5.5	nullosevent	room8_cond0_B.mov
121.07	2.5	room5	room5_cond11_A_left.mov
124.09	3.5	nullosevent	room3_cond0_B.mov
127.07	2.5	room7	room7_cond5_A.mov
130.07	9.5	nullosevent	room1_cond0_B.mov
139.08	2.5	room6	room6_cond8_A.mov
142.07	3.5	nullosevent	room4_cond0_B.mov
145.08	2.5	room5	room5_cond7_A.mov
148.09	3.5	nullosevent	room8_cond0_B.mov
151.08	2.5	room2	room2_cond2_A.mov
154.11	5.5	nullosevent	room3_cond0_B.mov
159.08	2.5	room7	room7_cond6_A.mov
162.11	3.5	nullosevent	room8_cond0_B.mov
165.07	2.5	room5	room5_cond1_A.mov
168.07	3.5	nullosevent	room2_cond0_B.mov
171.07	2.5	room6	room6_cond4_A.mov
174.07	3.5	nullosevent	room1_cond0_B.mov
177.09	2.5	room7	room7_cond11_A_left.mov
180.11	3.5	nullosevent	room4_cond0_B.mov
183.09	2.5	room3	room3_cond12_A_right.mov
186.11	3.5	nullosevent	room8_cond0_B.mov
189.07	2.5	room4	room4_cond3_A.mov
192.09	5.5	nullosevent	room1_cond0_B.mov
197.09	2.5	room3	room3_cond2_A.mov
200.11	5.5	nullosevent	room6_cond0_B.mov
205.07	2.5	room7	room7_cond7_A.mov
208.07	3.5	nullosevent	room5_cond0_B.mov
211.08	2.5	room2	room2_cond10_A.mov
214.08	5.5	nullosevent	room7_cond0_B.mov
219.09	2.5	room1	room1_cond8_A.mov
222.11	5.5	nullosevent	room2_cond0_B.mov
227.08	2.5	room4	room4_cond13_A_left.mov
230.07	3.5	nullosevent	room6_cond0_B.mov
233.09	2.5	room8	room8_cond9_A.mov
236.11	3.5	nullosevent	room3_cond0_B.mov
239.08	2.5	onebacktril	room8_cond9_A.mov
242.09	9.5	nullosevent	room3_cond0_B.mov
251.08	2.5	room5	room5_cond11_A_left.mov
254.09	3.5	nullosevent	room4_cond0_B.mov
257.08	2.5	onebacktril	room5_cond11_A_left.mov
260.11	3.5	nullosevent	room8_cond0_B.mov
263.09	2.5	room7	room7_cond12_A_right.mov
266.07	3.5	nullosevent	room2_cond0_B.mov
269.07	2.5	room1	room1_cond10_A.mov
272.07	5.5	nullosevent	room7_cond0_B.mov
277.09	2.5	room2	room2_cond12_A_right.mov
280.11	3.5	nullosevent	room8_cond0_B.mov
283.09	2.5	room1	room1_cond9_A.mov
286.11	5.5	nullosevent	room5_cond0_B.mov
291.07	2.5	room6	room6_cond14_A_right.mov
294.11	5.5	nullosevent	room3_cond0_B.mov
299.09	2.5	room4	room4_cond2_A.mov
302.06	3.5	nullosevent	room8_cond0_B.mov
305.08	2.5	room7	room7_cond8_A.mov
308.12	3.5	nullosevent	room6_cond0_B.mov
311.08	2.5	onebacktril	room7_cond8_A.mov
314.1	3.5	nullosevent	room3_cond0_B.mov
317.08	2.5	room4	room4_cond4_A.mov
320.1	3.5	nullosevent	room1_cond0_B.mov
323.09	2.5	room2	room2_cond13_A_left.mov
326.08	5.5	nullosevent	room3_cond0_B.mov
331.09	2.5	room6	room6_cond1_A.mov
334.11	3.5	nullosevent	room5_cond0_B.mov
337.09	2.5	room8	room8_cond6_A.mov
340.1	3.5	nullosevent	room7_cond0_B.mov
343.09	2.5	room4	room4_cond5_A.mov
346.11	3.5	nullosevent	room1_cond0_B.mov
349.09	2.5	room2	room2_cond11_A_left.mov
352.11	5.5	nullosevent	room8_cond0_B.mov
357.09	2.5	room6	room6_cond7_A.mov
360.07	3.5	nullosevent	room3_cond0_B.mov
363.07	2.5	onebacktril	room6_cond7_A.mov
366.07	3.5	nullosevent	room1_cond0_B.mov
369.01	2.5	fix	fix
371.51	3.5	nullosevent	room2_cond0_B.mov
375.09	2.5	room4	room4_cond9_A.mov
378.07	3.5	nullosevent	room4_cond0_B.mov
381.09	2.5	room6	room6_cond1_A.mov
384.1	3.5	nullosevent	room2_cond0_B.mov
387.07	2.5	room5	room5_cond5_A.mov
390.09	3.5	nullosevent	room7_cond0_B.mov
393.09	2.5	room1	room1_cond14_A_right.mov
396.1	3.5	nullosevent	room3_cond0_B.mov
399.08	2.5	room8	room8_cond6_A.mov
402.1	3.5	nullosevent	room7_cond0_B.mov
405.07	2.5	room1	room1_cond9_A.mov
408.1	3.5	nullosevent	room5_cond0_B.mov
411.08	2.5	room6	room6_cond13_A_left.mov
414.1	3.5	nullosevent	room3_cond0_B.mov
417.09	2.5	room4	room4_cond10_A.mov
420.1	5.5	nullosevent	room2_cond0_B.mov
425.09	2.5	room8	room8_cond13_A_left.mov
428.07	3.5	nullosevent	room3_cond0_B.mov
431.01	2.5	fix	fix
433.51	3.5	nullosevent	room8_cond0_B.mov
437.08	2.5	room4	room4_cond1_A.mov
440.1	3.5	nullosevent	room6_cond0_B.mov
443.09	2.5	room2	room2_cond3_A.mov
446.08	3.5	nullosevent	room5_cond0_B.mov
449.09	2.5	room7	room7_cond14_A_right.mov
