onset	duration	trial_type	stimfile
0.02	15	nullosevent	room8_cond0_B.mov
15.01	2.5	room6	room6_cond11_A_left.mov
18.08	3.5	nullosevent	room7_cond0_B.mov
21.01	2.5	room4	room4_cond9_A.mov
23.99	3.5	nullosevent	room2_cond0_B.mov
27.01	2.5	room1	room1_cond8_A.mov
30.04	3.5	nullosevent	room3_cond0_B.mov
33.01	2.5	room5	room5_cond10_A.mov
36.03	3.5	nullosevent	room4_cond0_B.mov
39.01	2.5	room5	room5_cond9_A.mov
42.04	3.5	nullosevent	room2_cond0_B.mov
45.01	2.5	room8	room8_cond4_A.mov
48.02	3.5	nullosevent	room7_cond0_B.mov
51.01	2.5	room6	room6_cond6_A.mov
54.04	3.5	nullosevent	room3_cond0_B.mov
57.02	2.5	room1	room1_cond5_A.mov
60.04	3.5	nullosevent	room3_cond0_B.mov
63.02	2.5	onebacktril	room1_cond5_A.mov
66.04	3.5	nullosevent	room4_cond0_B.mov
69.02	2.5	room6	room6_cond8_A.mov
72	5.5	nullosevent	room8_cond0_B.mov
77.02	2.5	room5	room5_cond14_A_right.mov
80.04	3.5	nullosevent	room2_cond0_B.mov
83.02	2.5	room1	room1_cond1_A.mov
86	3.5	nullosevent	room8_cond0_B.mov
89.02	2.5	room7	room7_cond14_A_right.mov
92.03	5.5	nullosevent	room2_cond0_B.mov
97.02	2.5	room3	room3_cond6_A.mov
100.03	3.5	nullosevent	room5_cond0_B.mov
103.01	2.5	room4	room4_cond7_A.mov
106.03	3.5	nullosevent	room1_cond0_B.mov
109.01	2.5	room6	room6_cond1_A.mov
112.03	5.5	nullosevent	room6_cond0_B.mov
117.01	2.5	room1	room1_cond13_A_left.mov
119.99	3.5	nullosevent	room7_cond0_B.mov
123.01	2.5	room8	room8_cond5_A.mov
126.01	3.5	nullosevent	room3_cond0_B.mov
129.01	2.5	room5	room5_cond7_A.mov
132.03	3.5	nullosevent	room2_cond0_B.mov
135.01	2.5	room4	room4_cond11_A_left.mov
138.04	3.5	nullosevent	room8_cond0_B.mov
141.01	2.5	room5	room5_cond2_A.mov
144.04	3.5	nullosevent	room7_cond0_B.mov
147.01	2.5	room1	room1_cond13_A_left.mov
150.01	5.5	nullosevent	room4_cond0_B.mov
155.02	2.5	room2	room2_cond2_A.mov
158.04	7.5	nullosevent	room3_cond0_B.mov
165.02	2.5	onebacktril	room2_cond2_A.mov
168.04	9.5	nullosevent	room6_cond0_B.mov
177.02	2.5	room2	room2_cond11_A_left.mov
180.03	9.5	nullosevent	room4_cond0_B.mov
189.02	2.5	room3	room3_cond12_A_right.mov
192.05	5.5	nullosevent	room1_cond0_B.mov
197.01	2.5	room7	room7_cond4_A.mov
200.05	3.5	nullosevent	room5_cond0_B.mov
203.01	2.5	room8	room8_cond10_A.mov
206.03	3.5	nullosevent	room8_cond0_B.mov
209.01	2.5	room6	room6_cond14_A_right.mov
212.05	3.5	nullosevent	room1_cond0_B.mov
215.01	2.5	room4	room4_cond5_A.mov
218.04	3.5	nullosevent	room2_cond0_B.mov
221.01	2.5	room7	room7_cond13_A_left.mov
224.01	3.5	nullosevent	room5_cond0_B.mov
227.01	2.5	room3	room3_cond3_A.mov
230.04	3.5	nullosevent	room2_cond0_B.mov
233.01	2.5	room1	room1_cond10_A.mov
236.02	3.5	nullosevent	room5_cond0_B.mov
239.01	2.5	fix	fix
241.51	3.5	nullosevent	room7_cond0_B.mov
245.02	2.5	room4	room4_cond12_A_right.mov
248.04	3.5	nullosevent	room8_cond0_B.mov
251.02	2.5	room6	room6_cond10_A.mov
254.04	3.5	nullosevent	room6_cond0_B.mov
257.02	2.5	room5	room5_cond8_A.mov
260	5.5	nullosevent	room8_cond0_B.mov
265.02	2.5	room3	room3_cond1_A.mov
268.04	3.5	nullosevent	room1_cond0_B.mov
271.02	2.5	room7	room7_cond2_A.mov
274.03	3.5	nullosevent	room2_cond0_B.mov
277.02	2.5	fix	fix
279.52	3.5	nullosevent	room5_cond0_B.mov
283.02	2.5	room2	room2_cond6_A.mov
286.03	3.5	nullosevent	room3_cond0_B.mov
289.02	2.5	room7	room7_cond4_A.mov
292.03	5.5	nullosevent	room4_cond0_B.mov
297.01	2.5	room1	room1_cond14_A_right.mov
300.03	3.5	nullosevent	room6_cond0_B.mov
303.01	2.5	room8	room8_cond7_A.mov
306	3.5	nullosevent	room6_cond0_B.mov
309.01	2.5	room2	room2_cond13_A_left.mov
312.01	3.5	nullosevent	room3_cond0_B.mov
315.01	2.5	room1	room1_cond11_A_left.mov
318.03	7.5	nullosevent	room4_cond0_B.mov
325.01	2.5	room7	room7_cond6_A.mov
328.04	5.5	nullosevent	room5_cond0_B.mov
333.01	2.5	room8	room8_cond2_A.mov
336.04	5.5	nullosevent	room6_cond0_B.mov
341.02	2.5	room2	room2_cond3_A.mov
344.01	5.5	nullosevent	room8_cond0_B.mov
349.02	2.5	room1	room1_cond9_A.mov
352.04	3.5	nullosevent	room7_cond0_B.mov
355.02	2.5	room5	room5_cond1_A.mov
358	5.5	nullosevent	room3_cond0_B.mov
363.02	2.5	room4	room4_cond4_A.mov
366.04	3.5	nullosevent	room1_cond0_B.mov
369.02	2.5	room6	room6_cond3_A.mov
372.03	3.5	nullosevent	room4_cond0_B.mov
375.02	2.5	onebacktril	room6_cond3_A.mov
378.03	3.5	nullosevent	room3_cond0_B.mov
381.02	2.5	room7	room7_cond9_A.mov
384.05	3.5	nullosevent	room2_cond0_B.mov
387.02	2.5	fix	fix
389.51	3.5	nullosevent	room3_cond0_B.mov
393.01	2.5	room5	room5_cond5_A.mov
396.05	3.5	nullosevent	room1_cond0_B.mov
399.01	2.5	room2	room2_cond12_A_right.mov
402.05	5.5	nullosevent	room7_cond0_B.mov
407.01	2.5	room4	room4_cond3_A.mov
410.04	7.5	nullosevent	room8_cond0_B.mov
417.01	2.5	fix	fix
419.51	3.5	nullosevent	room4_cond0_B.mov
423.01	2.5	room6	room6_cond8_A.mov
426.01	5.5	nullosevent	room7_cond0_B.mov
431.01	2.5	room5	room5_cond12_A_right.mov
434.01	3.5	nullosevent	room8_cond0_B.mov
437.01	2.5	onebacktril	room5_cond12_A_right.mov
440.01	3.5	nullosevent	room2_cond0_B.mov
443.01	2.5	room3	room3_cond7_A.mov
446.04	9.5	nullosevent	room7_cond0_B.mov
455	15	nullosevent	room4_cond0_A.mov
