onset	duration	trial_type	stimfile
0.01	15	nullosevent	room6_cond0_B.mov
15.08	2.5	room4	room4_cond4_A.mov
18.14	5.5	nullosevent	room8_cond0_B.mov
23.08	2.5	room1	room1_cond3_A.mov
26.07	3.5	nullosevent	room2_cond0_B.mov
29.07	2.5	room3	room3_cond8_A.mov
32.07	3.5	nullosevent	room7_cond0_B.mov
35.08	2.5	room5	room5_cond12_A_right.mov
38.07	5.5	nullosevent	room5_cond0_B.mov
43.02	2.5	fix	fix
45.52	5.5	nullosevent	room2_cond0_B.mov
51.06	2.5	room6	room6_cond7_A.mov
54.05	3.5	nullosevent	room3_cond0_B.mov
57.08	2.5	room8	room8_cond4_A.mov
60.1	5.5	nullosevent	room1_cond0_B.mov
65.01	2.5	fix	fix
67.51	3.5	nullosevent	room7_cond0_B.mov
71.08	2.5	room1	room1_cond6_A.mov
74.1	7.5	nullosevent	room2_cond0_B.mov
81.08	2.5	room6	room6_cond14_A_right.mov
84.1	3.5	nullosevent	room5_cond0_B.mov
87.08	2.5	room4	room4_cond3_A.mov
90.1	5.5	nullosevent	room8_cond0_B.mov
95.08	2.5	room3	room3_cond5_A.mov
98.11	3.5	nullosevent	room6_cond0_B.mov
101.08	2.5	room1	room1_cond10_A.mov
104.08	9.5	nullosevent	room4_cond0_B.mov
113.08	2.5	room2	room2_cond2_A.mov
116.1	5.5	nullosevent	room8_cond0_B.mov
121.08	2.5	room5	room5_cond11_A_left.mov
124.1	3.5	nullosevent	room3_cond0_B.mov
127.08	2.5	room7	room7_cond5_A.mov
130.07	9.5	nullosevent	room1_cond0_B.mov
139.08	2.5	room6	room6_cond8_A.mov
142.07	3.5	nullosevent	room4_cond0_B.mov
145.08	2.5	room5	room5_cond7_A.mov
148.1	3.5	nullosevent	room8_cond0_B.mov
151.06	2.5	room2	room2_cond2_A.mov
154.1	5.5	nullosevent	room3_cond0_B.mov
159.06	2.5	room7	room7_cond6_A.mov
162.1	3.5	nullosevent	room8_cond0_B.mov
165.08	2.5	room5	room5_cond1_A.mov
168.06	3.5	nullosevent	room2_cond0_B.mov
171.08	2.5	room6	room6_cond4_A.mov
174.06	3.5	nullosevent	room1_cond0_B.mov
177.08	2.5	room7	room7_cond11_A_left.mov
180.11	3.5	nullosevent	room4_cond0_B.mov
183.08	2.5	room3	room3_cond12_A_right.mov
186.11	3.5	nullosevent	room8_cond0_B.mov
189.08	2.5	room4	room4_cond3_A.mov
192.09	5.5	nullosevent	room1_cond0_B.mov
197.11	2.5	room3	room3_cond2_A.mov
200.11	5.5	nullosevent	room6_cond0_B.mov
205.08	2.5	room7	room7_cond7_A.mov
208.06	3.5	nullosevent	room5_cond0_B.mov
211.08	2.5	room2	room2_cond10_A.mov
214.08	5.5	nullosevent	room7_cond0_B.mov
219.08	2.5	room1	room1_cond8_A.mov
222.11	5.5	nullosevent	room2_cond0_B.mov
227.08	2.5	room4	room4_cond13_A_left.mov
230.08	3.5	nullosevent	room6_cond0_B.mov
233.08	2.5	room8	room8_cond9_A.mov
236.1	3.5	nullosevent	room3_cond0_B.mov
239.08	2.5	onebacktril	room8_cond9_A.mov
242.11	9.5	nullosevent	room3_cond0_B.mov
251.08	2.5	room5	room5_cond11_A_left.mov
254.1	3.5	nullosevent	room4_cond0_B.mov
257.06	2.5	onebacktril	room5_cond11_A_left.mov
260.08	3.5	nullosevent	room8_cond0_B.mov
263.08	2.5	room7	room7_cond12_A_right.mov
266.08	3.5	nullosevent	room2_cond0_B.mov
269.08	2.5	room1	room1_cond10_A.mov
272.08	5.5	nullosevent	room7_cond0_B.mov
277.08	2.5	room2	room2_cond12_A_right.mov
280.11	3.5	nullosevent	room8_cond0_B.mov
283.09	2.5	room1	room1_cond9_A.mov
286.11	5.5	nullosevent	room5_cond0_B.mov
291.08	2.5	room6	room6_cond14_A_right.mov
294.09	5.5	nullosevent	room3_cond0_B.mov
299.09	2.5	room4	room4_cond2_A.mov
302.06	3.5	nullosevent	room8_cond0_B.mov
305.09	2.5	room7	room7_cond8_A.mov
308.11	3.5	nullosevent	room6_cond0_B.mov
311.08	2.5	onebacktril	room7_cond8_A.mov
314.11	3.5	nullosevent	room3_cond0_B.mov
317.09	2.5	room4	room4_cond4_A.mov
320.12	3.5	nullosevent	room1_cond0_B.mov
323.08	2.5	room2	room2_cond13_A_left.mov
326.07	5.5	nullosevent	room3_cond0_B.mov
331.08	2.5	room6	room6_cond1_A.mov
334.1	3.5	nullosevent	room5_cond0_B.mov
337.08	2.5	room8	room8_cond6_A.mov
340.1	3.5	nullosevent	room7_cond0_B.mov
343.09	2.5	room4	room4_cond5_A.mov
346.11	3.5	nullosevent	room1_cond0_B.mov
349.11	2.5	room2	room2_cond11_A_left.mov
352.13	5.5	nullosevent	room8_cond0_B.mov
357.08	2.5	room6	room6_cond7_A.mov
360.06	3.5	nullosevent	room3_cond0_B.mov
