onset	duration	trial_type	stimfile
0.02	15	nullosevent	room3_cond0_B.mov
15.08	2.5	room8	room8_cond4_A.mov
18.13	5.5	nullosevent	room2_cond0_B.mov
23.07	2.5	room4	room4_cond3_A.mov
26.11	3.5	nullosevent	room6_cond0_B.mov
29.07	2.5	room7	room7_cond8_A.mov
32.1	3.5	nullosevent	room5_cond0_B.mov
35.07	2.5	room1	room1_cond12_A_right.mov
38.07	5.5	nullosevent	room6_cond0_B.mov
43.02	2.5	fix	fix
45.52	5.5	nullosevent	room7_cond0_B.mov
51.07	2.5	room2	room2_cond7_A.mov
54.1	3.5	nullosevent	room8_cond0_B.mov
57.07	2.5	room1	room1_cond4_A.mov
60.07	5.5	nullosevent	room3_cond0_B.mov
65.02	2.5	fix	fix
67.52	3.5	nullosevent	room2_cond0_B.mov
71.08	2.5	room1	room1_cond6_A.mov
74.1	7.5	nullosevent	room5_cond0_B.mov
81.08	2.5	room3	room3_cond14_A_right.mov
84.08	3.5	nullosevent	room6_cond0_B.mov
87.07	2.5	room4	room4_cond3_A.mov
90.08	5.5	nullosevent	room8_cond0_B.mov
95.08	2.5	room7	room7_cond5_A.mov
98.07	3.5	nullosevent	room6_cond0_B.mov
101.08	2.5	room7	room7_cond10_A.mov
104.09	9.5	nullosevent	room1_cond0_B.mov
113.07	2.5	room4	room4_cond2_A.mov
116.06	5.5	nullosevent	room8_cond0_B.mov
121.07	2.5	room5	room5_cond11_A_left.mov
124.1	3.5	nullosevent	room3_cond0_B.mov
127.08	2.5	room2	room2_cond5_A.mov
130.1	9.5	nullosevent	room1_cond0_B.mov
139.09	2.5	room5	room5_cond8_A.mov
142.08	3.5	nullosevent	room3_cond0_B.mov
145.09	2.5	room2	room2_cond7_A.mov
148.1	3.5	nullosevent	room4_cond0_B.mov
151.08	2.5	room8	room8_cond2_A.mov
154.1	5.5	nullosevent	room7_cond0_B.mov
159.08	2.5	room6	room6_cond6_A.mov
162.12	3.5	nullosevent	room7_cond0_B.mov
165.08	2.5	room1	room1_cond1_A.mov
168.07	3.5	nullosevent	room5_cond0_B.mov
171.08	2.5	room4	room4_cond4_A.mov
174.1	3.5	nullosevent	room8_cond0_B.mov
177.08	2.5	room6	room6_cond11_A_left.mov
180.1	3.5	nullosevent	room3_cond0_B.mov
183.08	2.5	room2	room2_cond12_A_right.mov
186.12	3.5	nullosevent	room4_cond0_B.mov
189.08	2.5	room1	room1_cond3_A.mov
192.07	5.5	nullosevent	room6_cond0_B.mov
197.08	2.5	room2	room2_cond2_A.mov
200.11	5.5	nullosevent	room3_cond0_B.mov
205.08	2.5	room8	room8_cond7_A.mov
208.06	3.5	nullosevent	room5_cond0_B.mov
211.08	2.5	room7	room7_cond10_A.mov
