onset	duration	trial_type	stimfile
0.02	15	nullosevent	room5_cond0_B.mov
15.07	2.5	room8	room8_cond9_A.mov
18.13	7.5	nullosevent	room2_cond0_B.mov
25.08	2.5	room6	room6_cond11_A_left.mov
28.11	5.5	nullosevent	room1_cond0_B.mov
33.07	2.5	room7	room7_cond3_A.mov
36.06	3.5	nullosevent	room4_cond0_B.mov
39.08	2.5	room3	room3_cond2_A.mov
42.09	5.5	nullosevent	room1_cond0_B.mov
47.08	2.5	room8	room8_cond4_A.mov
50.09	5.5	nullosevent	room7_cond0_B.mov
55.07	2.5	room4	room4_cond7_A.mov
58.09	3.5	nullosevent	room6_cond0_B.mov
61.07	2.5	room3	room3_cond6_A.mov
64.09	3.5	nullosevent	room5_cond0_B.mov
67.07	2.5	room2	room2_cond9_A.mov
70.11	3.5	nullosevent	room2_cond0_B.mov
73.07	2.5	room5	room5_cond12_A_right.mov
76.06	3.5	nullosevent	room6_cond0_B.mov
79.07	2.5	room4	room4_cond2_A.mov
82.07	3.5	nullosevent	room8_cond0_B.mov
85.07	2.5	room1	room1_cond9_A.mov
88.1	3.5	nullosevent	room7_cond0_B.mov
91.07	2.5	room3	room3_cond3_A.mov
94.1	3.5	nullosevent	room3_cond0_B.mov
97.07	2.5	room6	room6_cond8_A.mov
100.07	7.5	nullosevent	room1_cond0_B.mov
107.07	2.5	room8	room8_cond11_A_left.mov
110.1	3.5	nullosevent	room4_cond0_B.mov
113.08	2.5	room2	room2_cond1_A.mov
116.1	3.5	nullosevent	room5_cond0_B.mov
119.08	2.5	room7	room7_cond6_A.mov
122.1	3.5	nullosevent	room4_cond0_B.mov
125.07	2.5	room2	room2_cond10_A.mov
128.06	3.5	nullosevent	room7_cond0_B.mov
131.08	2.5	room8	room8_cond1_A.mov
134.09	3.5	nullosevent	room5_cond0_B.mov
137.01	2.5	fix	fix
139.51	3.5	nullosevent	room3_cond0_B.mov
143.08	2.5	room1	room1_cond3_A.mov
146.08	5.5	nullosevent	room1_cond0_B.mov
151.07	2.5	room2	room2_cond7_A.mov
154.11	3.5	nullosevent	room6_cond0_B.mov
157.07	2.5	room7	room7_cond3_A.mov
160.06	5.5	nullosevent	room3_cond0_B.mov
165.07	2.5	room4	room4_cond1_A.mov
168.1	3.5	nullosevent	room5_cond0_B.mov
171.07	2.5	room8	room8_cond2_A.mov
174.09	3.5	nullosevent	room8_cond0_B.mov
177.07	2.5	onebacktril	room8_cond2_A.mov
180.09	3.5	nullosevent	room3_cond0_B.mov
183.09	2.5	room6	room6_cond6_A.mov
186.1	3.5	nullosevent	room2_cond0_B.mov
189.09	2.5	room5	room5_cond4_A.mov
192.1	3.5	nullosevent	room7_cond0_B.mov
195.08	2.5	room1	room1_cond2_A.mov
198.09	3.5	nullosevent	room4_cond0_B.mov
201.08	2.5	room3	room3_cond5_A.mov
204.1	5.5	nullosevent	room2_cond0_B.mov
209.08	2.5	room7	room7_cond13_A_left.mov
212.07	3.5	nullosevent	room5_cond0_B.mov
215.08	2.5	room6	room6_cond8_A.mov
218.07	3.5	nullosevent	room8_cond0_B.mov
221.08	2.5	room1	room1_cond4_A.mov
224.06	5.5	nullosevent	room2_cond0_B.mov
229.08	2.5	room7	room7_cond9_A.mov
232.1	3.5	nullosevent	room8_cond0_B.mov
235.08	2.5	room3	room3_cond8_A.mov
238.06	5.5	nullosevent	room1_cond0_B.mov
243.08	2.5	room6	room6_cond13_A_left.mov
246.11	3.5	nullosevent	room4_cond0_B.mov
249.07	2.5	room5	room5_cond5_A.mov
252.11	3.5	nullosevent	room6_cond0_B.mov
255.07	2.5	room7	room7_cond10_A.mov
258.11	3.5	nullosevent	room1_cond0_B.mov
261.07	2.5	room4	room4_cond12_A_right.mov
264.1	3.5	nullosevent	room5_cond0_B.mov
267.07	2.5	room8	room8_cond7_A.mov
270.07	3.5	nullosevent	room3_cond0_B.mov
273.09	2.5	room2	room2_cond13_A_left.mov
276.07	3.5	nullosevent	room2_cond0_B.mov
279.09	2.5	room1	room1_cond10_A.mov
282.09	3.5	nullosevent	room7_cond0_B.mov
285.07	2.5	room5	room5_cond7_A.mov
288.1	3.5	nullosevent	room4_cond0_B.mov
291.07	2.5	room8	room8_cond1_A.mov
294.1	5.5	nullosevent	room3_cond0_B.mov
299.09	2.5	room6	room6_cond5_A.mov
302.12	3.5	nullosevent	room1_cond0_B.mov
305.09	2.5	room3	room3_cond11_A_left.mov
308.1	3.5	nullosevent	room6_cond0_B.mov
311.08	2.5	onebacktril	room3_cond11_A_left.mov
314.1	5.5	nullosevent	room7_cond0_B.mov
319.09	2.5	room2	room2_cond12_A_right.mov
322.1	3.5	nullosevent	room4_cond0_B.mov
325.01	2.5	fix	fix
327.51	7.5	nullosevent	room2_cond0_B.mov
335.08	2.5	room3	room3_cond5_A.mov
338.11	9.5	nullosevent	room5_cond0_B.mov
347.09	2.5	room6	room6_cond14_A_right.mov
350.1	5.5	nullosevent	room1_cond0_B.mov
355.09	2.5	room4	room4_cond12_A_right.mov
358.11	3.5	nullosevent	room7_cond0_B.mov
361.09	2.5	room8	room8_cond6_A.mov
364.1	3.5	nullosevent	room4_cond0_B.mov
367.09	2.5	room2	room2_cond14_A_right.mov
370.12	5.5	nullosevent	room1_cond0_B.mov
375.07	2.5	onebacktril	room2_cond14_A_right.mov
378.09	3.5	nullosevent	room3_cond0_B.mov
381.07	2.5	room8	room8_cond4_A.mov
384.09	5.5	nullosevent	room7_cond0_B.mov
389.07	2.5	onebacktril	room8_cond4_A.mov
392.1	5.5	nullosevent	room7_cond0_B.mov
397.08	2.5	room4	room4_cond11_A_left.mov
400.1	3.5	nullosevent	room2_cond0_B.mov
403.01	2.5	fix	fix
405.51	9.5	nullosevent	room5_cond0_B.mov
415.08	2.5	room8	room8_cond13_A_left.mov
418.08	5.5	nullosevent	room1_cond0_B.mov
423.08	2.5	room3	room3_cond14_A_right.mov
426.09	3.5	nullosevent	room7_cond0_B.mov
429.08	2.5	room6	room6_cond8_A.mov
432.07	3.5	nullosevent	room8_cond0_B.mov
435.02	2.5	fix	fix
437.52	3.5	nullosevent	room2_cond0_B.mov
441.07	2.5	room5	room5_cond14_A_right.mov
444.09	3.5	nullosevent	room3_cond0_B.mov
447.09	2.5	room1	room1_cond10_A.mov
450.09	5.5	nullosevent	room4_cond0_B.mov
455.02	15	nullosevent	room6_cond0_A.mov
