onset	duration	trial_type	stimfile
0.02	15	nullosevent	room8_cond0_B.mov
15.08	2.5	room4	room4_cond4_A.mov
18.13	5.5	nullosevent	room6_cond0_B.mov
23.08	2.5	room7	room7_cond3_A.mov
26.06	3.5	nullosevent	room1_cond0_B.mov
29.08	2.5	room3	room3_cond8_A.mov
32.08	3.5	nullosevent	room5_cond0_B.mov
35.08	2.5	room2	room2_cond12_A_right.mov
38.1	5.5	nullosevent	room3_cond0_B.mov
43.01	2.5	fix	fix
45.51	5.5	nullosevent	room4_cond0_B.mov
51.08	2.5	room2	room2_cond7_A.mov
54.09	3.5	nullosevent	room1_cond0_B.mov
57.08	2.5	room6	room6_cond4_A.mov
60.06	5.5	nullosevent	room7_cond0_B.mov
65.01	2.5	fix	fix
67.51	3.5	nullosevent	room4_cond0_B.mov
71.08	2.5	room1	room1_cond6_A.mov
74.09	7.5	nullosevent	room7_cond0_B.mov
81.08	2.5	room8	room8_cond14_A_right.mov
84.09	3.5	nullosevent	room6_cond0_B.mov
87.08	2.5	room2	room2_cond3_A.mov
90.07	5.5	nullosevent	room5_cond0_B.mov
95.08	2.5	room3	room3_cond5_A.mov
98.1	3.5	nullosevent	room4_cond0_B.mov
101.08	2.5	room2	room2_cond10_A.mov
104.07	9.5	nullosevent	room3_cond0_B.mov
113.08	2.5	room7	room7_cond2_A.mov
116.11	5.5	nullosevent	room1_cond0_B.mov
121.08	2.5	room5	room5_cond11_A_left.mov
124.09	3.5	nullosevent	room6_cond0_B.mov
127.08	2.5	room8	room8_cond5_A.mov
130.06	9.5	nullosevent	room3_cond0_B.mov
139.08	2.5	room6	room6_cond8_A.mov
142.06	3.5	nullosevent	room4_cond0_B.mov
145.08	2.5	room5	room5_cond7_A.mov
148.09	3.5	nullosevent	room2_cond0_B.mov
151.08	2.5	room7	room7_cond2_A.mov
154.09	5.5	nullosevent	room1_cond0_B.mov
159.07	2.5	room8	room8_cond6_A.mov
162.11	3.5	nullosevent	room7_cond0_B.mov
165.07	2.5	room2	room2_cond1_A.mov
168.09	3.5	nullosevent	room1_cond0_B.mov
171.09	2.5	room8	room8_cond4_A.mov
174.11	3.5	nullosevent	room4_cond0_B.mov
177.07	2.5	room3	room3_cond11_A_left.mov
180.11	3.5	nullosevent	room5_cond0_B.mov
183.07	2.5	room6	room6_cond12_A_right.mov
186.09	3.5	nullosevent	room8_cond0_B.mov
189.07	2.5	room5	room5_cond3_A.mov
192.1	5.5	nullosevent	room6_cond0_B.mov
197.07	2.5	room3	room3_cond2_A.mov
200.1	5.5	nullosevent	room4_cond0_B.mov
