onset	duration	trial_type	stimfile
0.01	15	nullosevent	room2_cond0_B.mov
15.08	2.5	room5	room5_cond6_A.mov
18.1	5.5	nullosevent	room4_cond0_B.mov
23.08	2.5	room1	room1_cond3_A.mov
26.06	5.5	nullosevent	room3_cond0_B.mov
31.08	2.5	room7	room7_cond4_A.mov
34.1	3.5	nullosevent	room8_cond0_B.mov
37.08	2.5	room6	room6_cond7_A.mov
40.07	3.5	nullosevent	room2_cond0_B.mov
43.08	2.5	room7	room7_cond5_A.mov
46.07	5.5	nullosevent	room1_cond0_B.mov
51.08	2.5	room4	room4_cond11_A_left.mov
54.1	3.5	nullosevent	room6_cond0_B.mov
57.08	2.5	room8	room8_cond2_A.mov
60.09	5.5	nullosevent	room3_cond0_B.mov
65.08	2.5	room5	room5_cond13_A_left.mov
68.06	3.5	nullosevent	room2_cond0_B.mov
71.08	2.5	room3	room3_cond14_A_right.mov
74.1	3.5	nullosevent	room4_cond0_B.mov
77.08	2.5	onebacktril	room3_cond14_A_right.mov
80.09	3.5	nullosevent	room6_cond0_B.mov
83.08	2.5	room5	room5_cond8_A.mov
86.06	3.5	nullosevent	room8_cond0_B.mov
89.08	2.5	room1	room1_cond2_A.mov
92.11	3.5	nullosevent	room2_cond0_B.mov
95.08	2.5	room8	room8_cond9_A.mov
98.09	5.5	nullosevent	room6_cond0_B.mov
103.07	2.5	room7	room7_cond12_A_right.mov
106.06	5.5	nullosevent	room5_cond0_B.mov
111.07	2.5	room3	room3_cond10_A.mov
114.11	3.5	nullosevent	room4_cond0_B.mov
117.07	2.5	room1	room1_cond9_A.mov
120.1	3.5	nullosevent	room1_cond0_B.mov
123.07	2.5	room7	room7_cond1_A.mov
126.09	3.5	nullosevent	room5_cond0_B.mov
129.07	2.5	room6	room6_cond5_A.mov
132.11	5.5	nullosevent	room3_cond0_B.mov
137.07	2.5	room4	room4_cond9_A.mov
140.07	3.5	nullosevent	room2_cond0_B.mov
143.07	2.5	onebacktril	room4_cond9_A.mov
146.07	9.5	nullosevent	room3_cond0_B.mov
155.08	2.5	room7	room7_cond13_A_left.mov
158.06	3.5	nullosevent	room2_cond0_B.mov
161.07	2.5	room5	room5_cond2_A.mov
164.11	7.5	nullosevent	room4_cond0_B.mov
171.08	2.5	room8	room8_cond12_A_right.mov
174.06	5.5	nullosevent	room1_cond0_B.mov
179.08	2.5	room6	room6_cond9_A.mov
182.08	5.5	nullosevent	room3_cond0_B.mov
187.08	2.5	room7	room7_cond5_A.mov
190.06	3.5	nullosevent	room1_cond0_B.mov
193.07	2.5	room2	room2_cond13_A_left.mov
196.07	3.5	nullosevent	room6_cond0_B.mov
199.01	2.5	fix	fix
201.51	5.5	nullosevent	room5_cond0_B.mov
207.07	2.5	room8	room8_cond6_A.mov
