onset	duration	trial_type	stimfile
0.02	15	nullosevent	room3_cond0_B.mov
15.08	2.5	room6	room6_cond4_A.mov
18.1	5.5	nullosevent	room1_cond0_B.mov
23.08	2.5	room5	room5_cond3_A.mov
26.09	3.5	nullosevent	room2_cond0_B.mov
29.08	2.5	room7	room7_cond8_A.mov
32.11	3.5	nullosevent	room4_cond0_B.mov
35.08	2.5	room8	room8_cond12_A_right.mov
38.06	5.5	nullosevent	room1_cond0_B.mov
43.01	2.5	fix	fix
45.51	5.5	nullosevent	room2_cond0_B.mov
51.07	2.5	room5	room5_cond7_A.mov
54.09	3.5	nullosevent	room8_cond0_B.mov
57.07	2.5	room4	room4_cond4_A.mov
60.09	5.5	nullosevent	room7_cond0_B.mov
65.01	2.5	fix	fix
67.51	3.5	nullosevent	room4_cond0_B.mov
71.07	2.5	room5	room5_cond6_A.mov
74.07	7.5	nullosevent	room1_cond0_B.mov
81.07	2.5	room3	room3_cond14_A_right.mov
84.09	3.5	nullosevent	room2_cond0_B.mov
87.07	2.5	room8	room8_cond3_A.mov
90.1	5.5	nullosevent	room7_cond0_B.mov
95.07	2.5	room6	room6_cond5_A.mov
98.1	3.5	nullosevent	room8_cond0_B.mov
101.08	2.5	room2	room2_cond10_A.mov
104.07	9.5	nullosevent	room6_cond0_B.mov
113.07	2.5	room1	room1_cond2_A.mov
116.08	5.5	nullosevent	room5_cond0_B.mov
121.08	2.5	room4	room4_cond11_A_left.mov
124.11	3.5	nullosevent	room7_cond0_B.mov
127.08	2.5	room3	room3_cond5_A.mov
130.09	9.5	nullosevent	room4_cond0_B.mov
139.09	2.5	room3	room3_cond8_A.mov
142.07	3.5	nullosevent	room1_cond0_B.mov
145.07	2.5	room7	room7_cond7_A.mov
148.06	3.5	nullosevent	room2_cond0_B.mov
151.07	2.5	room5	room5_cond2_A.mov
154.09	5.5	nullosevent	room8_cond0_B.mov
159.07	2.5	room6	room6_cond6_A.mov
162.09	3.5	nullosevent	room8_cond0_B.mov
165.07	2.5	room4	room4_cond1_A.mov
168.11	3.5	nullosevent	room5_cond0_B.mov
171.07	2.5	room2	room2_cond4_A.mov
174.11	3.5	nullosevent	room6_cond0_B.mov
177.07	2.5	room3	room3_cond11_A_left.mov
180.1	3.5	nullosevent	room1_cond0_B.mov
183.07	2.5	room7	room7_cond12_A_right.mov
186.07	3.5	nullosevent	room2_cond0_B.mov
189.07	2.5	room6	room6_cond3_A.mov
192.11	5.5	nullosevent	room7_cond0_B.mov
197.08	2.5	room5	room5_cond2_A.mov
200.1	5.5	nullosevent	room4_cond0_B.mov
205.08	2.5	room3	room3_cond7_A.mov
208.1	3.5	nullosevent	room8_cond0_B.mov
211.08	2.5	room1	room1_cond10_A.mov
214.09	5.5	nullosevent	room5_cond0_B.mov
219.08	2.5	room4	room4_cond8_A.mov
222.08	5.5	nullosevent	room2_cond0_B.mov
227.08	2.5	room3	room3_cond13_A_left.mov
230.08	3.5	nullosevent	room7_cond0_B.mov
233.08	2.5	room6	room6_cond9_A.mov
236.09	3.5	nullosevent	room1_cond0_B.mov
239.07	2.5	onebacktril	room6_cond9_A.mov
242.09	9.5	nullosevent	room2_cond0_B.mov
251.07	2.5	room6	room6_cond11_A_left.mov
254.11	3.5	nullosevent	room1_cond0_B.mov
257.07	2.5	onebacktril	room6_cond11_A_left.mov
260.1	3.5	nullosevent	room5_cond0_B.mov
263.07	2.5	room4	room4_cond12_A_right.mov
266.1	3.5	nullosevent	room3_cond0_B.mov
269.07	2.5	room7	room7_cond10_A.mov
272.1	5.5	nullosevent	room6_cond0_B.mov
277.07	2.5	room5	room5_cond12_A_right.mov
280.07	3.5	nullosevent	room3_cond0_B.mov
283.09	2.5	room1	room1_cond9_A.mov
286.1	5.5	nullosevent	room8_cond0_B.mov
291.09	2.5	room4	room4_cond14_A_right.mov
294.11	5.5	nullosevent	room2_cond0_B.mov
299.09	2.5	room7	room7_cond2_A.mov
302.11	3.5	nullosevent	room8_cond0_B.mov
305.08	2.5	room4	room4_cond8_A.mov
308.07	3.5	nullosevent	room2_cond0_B.mov
311.08	2.5	onebacktril	room4_cond8_A.mov
314.07	3.5	nullosevent	room5_cond0_B.mov
317.08	2.5	room1	room1_cond4_A.mov
320.08	3.5	nullosevent	room3_cond0_B.mov
323.08	2.5	room7	room7_cond13_A_left.mov
326.06	5.5	nullosevent	room1_cond0_B.mov
331.09	2.5	room4	room4_cond1_A.mov
334.11	3.5	nullosevent	room6_cond0_B.mov
337.07	2.5	room7	room7_cond6_A.mov
340.11	3.5	nullosevent	room3_cond0_B.mov
343.09	2.5	room8	room8_cond5_A.mov
346.07	3.5	nullosevent	room5_cond0_B.mov
349.07	2.5	room2	room2_cond11_A_left.mov
352.11	5.5	nullosevent	room6_cond0_B.mov
357.07	2.5	room2	room2_cond7_A.mov
360.1	3.5	nullosevent	room4_cond0_B.mov
