onset	duration	trial_type	stimfile
0.02	15	nullosevent	room3_cond0_B.mov
15.08	2.5	room8	room8_cond6_A.mov
18.13	5.5	nullosevent	room5_cond0_B.mov
23.06	2.5	room6	room6_cond3_A.mov
26.1	5.5	nullosevent	room4_cond0_B.mov
31.08	2.5	room2	room2_cond4_A.mov
34.09	3.5	nullosevent	room1_cond0_B.mov
37.08	2.5	room7	room7_cond7_A.mov
40.06	3.5	nullosevent	room7_cond0_B.mov
43.08	2.5	room6	room6_cond5_A.mov
46.09	5.5	nullosevent	room3_cond0_B.mov
51.08	2.5	room8	room8_cond11_A_left.mov
54.09	3.5	nullosevent	room1_cond0_B.mov
57.08	2.5	room2	room2_cond2_A.mov
60.09	5.5	nullosevent	room5_cond0_B.mov
65.08	2.5	room4	room4_cond13_A_left.mov
68.06	3.5	nullosevent	room5_cond0_B.mov
71.08	2.5	room1	room1_cond14_A_right.mov
74.09	3.5	nullosevent	room8_cond0_B.mov
77.07	2.5	onebacktril	room1_cond14_A_right.mov
80.09	3.5	nullosevent	room4_cond0_B.mov
83.08	2.5	room7	room7_cond8_A.mov
86.1	3.5	nullosevent	room2_cond0_B.mov
89.08	2.5	room3	room3_cond2_A.mov
92.11	3.5	nullosevent	room8_cond0_B.mov
95.08	2.5	room3	room3_cond9_A.mov
98.07	5.5	nullosevent	room5_cond0_B.mov
103.08	2.5	room2	room2_cond12_A_right.mov
106.1	5.5	nullosevent	room7_cond0_B.mov
111.08	2.5	room6	room6_cond10_A.mov
114.1	3.5	nullosevent	room1_cond0_B.mov
117.08	2.5	room4	room4_cond9_A.mov
120.06	3.5	nullosevent	room3_cond0_B.mov
123.08	2.5	room1	room1_cond1_A.mov
126.06	3.5	nullosevent	room5_cond0_B.mov
129.06	2.5	room8	room8_cond5_A.mov
132.06	5.5	nullosevent	room4_cond0_B.mov
137.08	2.5	room7	room7_cond9_A.mov
140.11	3.5	nullosevent	room6_cond0_B.mov
143.08	2.5	onebacktril	room7_cond9_A.mov
146.09	9.5	nullosevent	room3_cond0_B.mov
155.08	2.5	room4	room4_cond13_A_left.mov
158.08	3.5	nullosevent	room1_cond0_B.mov
161.08	2.5	room2	room2_cond2_A.mov
164.09	7.5	nullosevent	room8_cond0_B.mov
171.08	2.5	room6	room6_cond12_A_right.mov
174.06	5.5	nullosevent	room5_cond0_B.mov
179.08	2.5	room7	room7_cond9_A.mov
182.09	5.5	nullosevent	room4_cond0_B.mov
187.08	2.5	room1	room1_cond5_A.mov
190.1	3.5	nullosevent	room3_cond0_B.mov
193.08	2.5	room8	room8_cond13_A_left.mov
196.08	3.5	nullosevent	room2_cond0_B.mov
199.02	2.5	fix	fix
201.52	5.5	nullosevent	room5_cond0_B.mov
207.08	2.5	room6	room6_cond6_A.mov
210.1	3.5	nullosevent	room1_cond0_B.mov
213.08	2.5	onebacktril	room6_cond6_A.mov
216.1	3.5	nullosevent	room8_cond0_B.mov
219.08	2.5	room7	room7_cond3_A.mov
222.06	7.5	nullosevent	room3_cond0_B.mov
229.08	2.5	room6	room6_cond11_A_left.mov
232.09	5.5	nullosevent	room2_cond0_B.mov
237.08	2.5	onebacktril	room6_cond11_A_left.mov
240.09	5.5	nullosevent	room1_cond0_B.mov
245.07	2.5	room3	room3_cond11_A_left.mov
248.09	3.5	nullosevent	room6_cond0_B.mov
251.07	2.5	room4	room4_cond6_A.mov
254.09	5.5	nullosevent	room7_cond0_B.mov
259.07	2.5	room5	room5_cond7_A.mov
262.09	5.5	nullosevent	room2_cond0_B.mov
267.07	2.5	room8	room8_cond3_A.mov
270.11	5.5	nullosevent	room6_cond0_B.mov
275.1	2.5	room1	room1_cond7_A.mov
278.07	3.5	nullosevent	room7_cond0_B.mov
281.08	2.5	room3	room3_cond1_A.mov
284.1	3.5	nullosevent	room5_cond0_B.mov
287.07	2.5	room8	room8_cond12_A_right.mov
290.06	3.5	nullosevent	room4_cond0_B.mov
293.09	2.5	room2	room2_cond8_A.mov
296.12	3.5	nullosevent	room8_cond0_B.mov
299.08	2.5	room1	room1_cond1_A.mov
302.07	3.5	nullosevent	room4_cond0_B.mov
305.08	2.5	room6	room6_cond4_A.mov
308.08	3.5	nullosevent	room7_cond0_B.mov
311.08	2.5	room5	room5_cond2_A.mov
314.11	3.5	nullosevent	room2_cond0_B.mov
317.09	2.5	room3	room3_cond3_A.mov
320.11	3.5	nullosevent	room4_cond0_B.mov
323.01	2.5	fix	fix
325.51	3.5	nullosevent	room1_cond0_B.mov
329.09	2.5	room5	room5_cond4_A.mov
332.11	3.5	nullosevent	room2_cond0_B.mov
335.08	2.5	room8	room8_cond10_A.mov
338.11	3.5	nullosevent	room3_cond0_B.mov
