onset	duration	trial_type	stimfile
0.02	15	nullosevent	room6_cond0_B.mov
15.09	2.5	room3	room3_cond7_A.mov
18.14	3.5	nullosevent	room5_cond0_B.mov
21.07	2.5	room1	room1_cond10_A.mov
24.07	3.5	nullosevent	room7_cond0_B.mov
27.07	2.5	room2	room2_cond6_A.mov
30.1	3.5	nullosevent	room4_cond0_B.mov
33.09	2.5	room8	room8_cond8_A.mov
36.09	3.5	nullosevent	room3_cond0_B.mov
39.07	2.5	room5	room5_cond4_A.mov
42.09	5.5	nullosevent	room8_cond0_B.mov
47.07	2.5	room6	room6_cond5_A.mov
50.1	7.5	nullosevent	room7_cond0_B.mov
57.07	2.5	room2	room2_cond12_A_right.mov
60.1	3.5	nullosevent	room4_cond0_B.mov
63.07	2.5	room1	room1_cond9_A.mov
66.1	3.5	nullosevent	room6_cond0_B.mov
69.07	2.5	room5	room5_cond2_A.mov
72.1	3.5	nullosevent	room3_cond0_B.mov
75.08	2.5	room4	room4_cond11_A_left.mov
78.1	9.5	nullosevent	room7_cond0_B.mov
87.08	2.5	room1	room1_cond3_A.mov
90.07	3.5	nullosevent	room2_cond0_B.mov
93.08	2.5	onebacktril	room1_cond3_A.mov
96.06	3.5	nullosevent	room3_cond0_B.mov
99.08	2.5	room8	room8_cond13_A_left.mov
102.08	3.5	nullosevent	room5_cond0_B.mov
105.07	2.5	room4	room4_cond6_A.mov
108.09	3.5	nullosevent	room2_cond0_B.mov
111.07	2.5	room7	room7_cond10_A.mov
114.1	5.5	nullosevent	room6_cond0_B.mov
119.07	2.5	room1	room1_cond9_A.mov
122.09	9.5	nullosevent	room7_cond0_B.mov
131.07	2.5	room1	room1_cond13_A_left.mov
134.07	3.5	nullosevent	room4_cond0_B.mov
137.07	2.5	room6	room6_cond9_A.mov
140.09	3.5	nullosevent	room2_cond0_B.mov
143.07	2.5	room5	room5_cond5_A.mov
146.1	7.5	nullosevent	room3_cond0_B.mov
153.07	2.5	room8	room8_cond1_A.mov
156.08	3.5	nullosevent	room4_cond0_B.mov
159.07	2.5	room8	room8_cond6_A.mov
162.1	3.5	nullosevent	room1_cond0_B.mov
165.08	2.5	room6	room6_cond11_A_left.mov
168.1	3.5	nullosevent	room3_cond0_B.mov
171.08	2.5	room7	room7_cond13_A_left.mov
174.07	3.5	nullosevent	room5_cond0_B.mov
177.08	2.5	room2	room2_cond14_A_right.mov
180.1	5.5	nullosevent	room7_cond0_B.mov
185.08	2.5	room6	room6_cond7_A.mov
188.08	3.5	nullosevent	room2_cond0_B.mov
191.08	2.5	room4	room4_cond12_A_right.mov
194.1	5.5	nullosevent	room1_cond0_B.mov
199.08	2.5	room5	room5_cond7_A.mov
202.1	7.5	nullosevent	room8_cond0_B.mov
209.08	2.5	room3	room3_cond8_A.mov
212.07	5.5	nullosevent	room2_cond0_B.mov
217.02	2.5	fix	fix
219.52	3.5	nullosevent	room1_cond0_B.mov
223.08	2.5	room5	room5_cond4_A.mov
226.1	5.5	nullosevent	room8_cond0_B.mov
231.02	2.5	fix	fix
233.52	3.5	nullosevent	room3_cond0_B.mov
237.09	2.5	room6	room6_cond10_A.mov
240.1	3.5	nullosevent	room8_cond0_B.mov
243.08	2.5	room7	room7_cond4_A.mov
246.1	5.5	nullosevent	room2_cond0_B.mov
251.08	2.5	room4	room4_cond14_A_right.mov
