onset	duration	trial_type	stimfile
0.03	15	nullosevent	room2_cond0_B.mov
15.09	2.5	room8	room8_cond3_A.mov
18.14	3.5	nullosevent	room1_cond0_B.mov
21.08	2.5	room5	room5_cond1_A.mov
24.07	5.5	nullosevent	room7_cond0_B.mov
29.08	2.5	room4	room4_cond2_A.mov
32.06	3.5	nullosevent	room3_cond0_B.mov
35.08	2.5	room6	room6_cond9_A.mov
38.1	3.5	nullosevent	room5_cond0_B.mov
41.08	2.5	room3	room3_cond10_A.mov
44.1	3.5	nullosevent	room1_cond0_B.mov
47.08	2.5	room8	room8_cond3_A.mov
50.09	3.5	nullosevent	room2_cond0_B.mov
53.08	2.5	room7	room7_cond11_A_left.mov
56.1	5.5	nullosevent	room6_cond0_B.mov
61.08	2.5	room4	room4_cond5_A.mov
64.1	3.5	nullosevent	room2_cond0_B.mov
67.08	2.5	room4	room4_cond7_A.mov
70.1	3.5	nullosevent	room5_cond0_B.mov
73.09	2.5	room6	room6_cond13_A_left.mov
76.11	3.5	nullosevent	room1_cond0_B.mov
79.09	2.5	room7	room7_cond12_A_right.mov
82.08	3.5	nullosevent	room8_cond0_B.mov
85.08	2.5	room3	room3_cond2_A.mov
88.09	3.5	nullosevent	room1_cond0_B.mov
91.08	2.5	room3	room3_cond12_A_right.mov
94.09	3.5	nullosevent	room6_cond0_B.mov
97.08	2.5	onebacktril	room3_cond12_A_right.mov
100.09	5.5	nullosevent	room2_cond0_B.mov
105.08	2.5	room5	room5_cond8_A.mov
108.08	5.5	nullosevent	room7_cond0_B.mov
113.08	2.5	room8	room8_cond2_A.mov
116.09	3.5	nullosevent	room1_cond0_B.mov
119.08	2.5	room8	room8_cond6_A.mov
122.1	5.5	nullosevent	room4_cond0_B.mov
127.09	2.5	room7	room7_cond14_A_right.mov
130.12	3.5	nullosevent	room3_cond0_B.mov
133.08	2.5	room5	room5_cond12_A_right.mov
136.06	3.5	nullosevent	room2_cond0_B.mov
139.07	2.5	room6	room6_cond4_A.mov
142.07	3.5	nullosevent	room5_cond0_B.mov
145.09	2.5	room6	room6_cond14_A_right.mov
148.11	5.5	nullosevent	room8_cond0_B.mov
153.09	2.5	room7	room7_cond6_A.mov
156.12	5.5	nullosevent	room4_cond0_B.mov
161.08	2.5	room2	room2_cond9_A.mov
164.11	3.5	nullosevent	room3_cond0_B.mov
167.01	2.5	fix	fix
169.51	3.5	nullosevent	room8_cond0_B.mov
173.08	2.5	room3	room3_cond5_A.mov
176.11	5.5	nullosevent	room2_cond0_B.mov
181.01	2.5	fix	fix
183.51	3.5	nullosevent	room5_cond0_B.mov
187.08	2.5	room6	room6_cond10_A.mov
190.11	5.5	nullosevent	room1_cond0_B.mov
195.09	2.5	room4	room4_cond11_A_left.mov
198.11	3.5	nullosevent	room2_cond0_B.mov
201.07	2.5	room8	room8_cond13_A_left.mov
204.06	3.5	nullosevent	room4_cond0_B.mov
207.09	2.5	room6	room6_cond1_A.mov
210.11	3.5	nullosevent	room7_cond0_B.mov
213.01	2.5	fix	fix
215.51	3.5	nullosevent	room3_cond0_B.mov
219.07	2.5	room5	room5_cond11_A_left.mov
222.11	7.5	nullosevent	room7_cond0_B.mov
229.09	2.5	room4	room4_cond1_A.mov
232.11	3.5	nullosevent	room8_cond0_B.mov
235.09	2.5	room6	room6_cond8_A.mov
238.08	3.5	nullosevent	room2_cond0_B.mov
241.08	2.5	room1	room1_cond7_A.mov
244.07	3.5	nullosevent	room3_cond0_B.mov
247.07	2.5	room5	room5_cond9_A.mov
250.11	7.5	nullosevent	room3_cond0_B.mov
257.07	2.5	room8	room8_cond3_A.mov
260.09	3.5	nullosevent	room6_cond0_B.mov
263.08	2.5	room5	room5_cond10_A.mov
266.1	5.5	nullosevent	room7_cond0_B.mov
271.08	2.5	room1	room1_cond12_A_right.mov
274.08	3.5	nullosevent	room4_cond0_B.mov
277.08	2.5	room2	room2_cond5_A.mov
280.09	5.5	nullosevent	room2_cond0_B.mov
285.08	2.5	room6	room6_cond11_A_left.mov
288.09	3.5	nullosevent	room5_cond0_B.mov
291.09	2.5	room7	room7_cond14_A_right.mov
294.11	7.5	nullosevent	room8_cond0_B.mov
301.07	2.5	room1	room1_cond2_A.mov
304.09	5.5	nullosevent	room3_cond0_B.mov
309.07	2.5	onebacktril	room1_cond2_A.mov
312.09	3.5	nullosevent	room6_cond0_B.mov
315.09	2.5	room4	room4_cond4_A.mov
318.11	7.5	nullosevent	room2_cond0_B.mov
325.07	2.5	room3	room3_cond5_A.mov
328.11	7.5	nullosevent	room5_cond0_B.mov
335.08	2.5	room1	room1_cond13_A_left.mov
338.07	5.5	nullosevent	room7_cond0_B.mov
343.08	2.5	room8	room8_cond9_A.mov
346.11	3.5	nullosevent	room7_cond0_B.mov
349.09	2.5	room5	room5_cond4_A.mov
352.11	3.5	nullosevent	room1_cond0_B.mov
355.1	2.5	room2	room2_cond3_A.mov
358.09	3.5	nullosevent	room6_cond0_B.mov
361.09	2.5	room8	room8_cond8_A.mov
364.07	3.5	nullosevent	room3_cond0_B.mov
367.09	2.5	room4	room4_cond10_A.mov
370.11	9.5	nullosevent	room2_cond0_B.mov
379.09	2.5	room4	room4_cond14_A_right.mov
382.11	3.5	nullosevent	room1_cond0_B.mov
385.09	2.5	room5	room5_cond13_A_left.mov
388.08	3.5	nullosevent	room6_cond0_B.mov
391.01	2.5	fix	fix
393.51	3.5	nullosevent	room7_cond0_B.mov
397.07	2.5	room8	room8_cond4_A.mov
400.11	3.5	nullosevent	room5_cond0_B.mov
403.07	2.5	room1	room1_cond7_A.mov
406.07	3.5	nullosevent	room3_cond0_B.mov
409.07	2.5	room8	room8_cond1_A.mov
412.1	3.5	nullosevent	room6_cond0_B.mov
415.07	2.5	onebacktril	room8_cond1_A.mov
418.09	3.5	nullosevent	room2_cond0_B.mov
421.07	2.5	room7	room7_cond6_A.mov
424.1	3.5	nullosevent	room1_cond0_B.mov
427.07	2.5	room8	room8_cond8_A.mov
430.07	3.5	nullosevent	room4_cond0_B.mov
433.08	2.5	room2	room2_cond6_A.mov
436.1	5.5	nullosevent	room7_cond0_B.mov
441.07	2.5	room5	room5_cond7_A.mov
444.1	5.5	nullosevent	room6_cond0_B.mov
449.07	2.5	onebacktril	room5_cond7_A.mov
452.1	3.5	nullosevent	room4_cond0_B.mov
455.01	15	nullosevent	room6_cond0_A.mov
