onset	duration	trial_type	stimfile
0.01	15	nullosevent	room1_cond0_B.mov
15.01	2.5	room3	room3_cond7_A.mov
18.06	3.5	nullosevent	room8_cond0_B.mov
21.01	2.5	room7	room7_cond10_A.mov
24.03	3.5	nullosevent	room5_cond0_B.mov
27.01	2.5	room2	room2_cond6_A.mov
30.04	3.5	nullosevent	room6_cond0_B.mov
33.01	2.5	room4	room4_cond8_A.mov
36.01	3.5	nullosevent	room6_cond0_B.mov
39.01	2.5	room1	room1_cond4_A.mov
42.01	5.5	nullosevent	room5_cond0_B.mov
47.01	2.5	room3	room3_cond5_A.mov
50.04	7.5	nullosevent	room2_cond0_B.mov
57.02	2.5	room8	room8_cond12_A_right.mov
60	3.5	nullosevent	room7_cond0_B.mov
63.02	2.5	room4	room4_cond9_A.mov
66	3.5	nullosevent	room7_cond0_B.mov
69.02	2.5	room1	room1_cond2_A.mov
72.03	3.5	nullosevent	room5_cond0_B.mov
75.02	2.5	room3	room3_cond11_A_left.mov
78.03	9.5	nullosevent	room2_cond0_B.mov
87.02	2.5	room8	room8_cond3_A.mov
90.03	3.5	nullosevent	room6_cond0_B.mov
93.01	2.5	onebacktril	room8_cond3_A.mov
96.03	3.5	nullosevent	room8_cond0_B.mov
99.01	2.5	room4	room4_cond13_A_left.mov
102.01	3.5	nullosevent	room5_cond0_B.mov
105.01	2.5	room1	room1_cond6_A.mov
108.03	3.5	nullosevent	room3_cond0_B.mov
111.01	2.5	room2	room2_cond10_A.mov
113.99	5.5	nullosevent	room6_cond0_B.mov
119.01	2.5	room7	room7_cond9_A.mov
122.04	9.5	nullosevent	room3_cond0_B.mov
131.01	2.5	room8	room8_cond13_A_left.mov
134.01	3.5	nullosevent	room1_cond0_B.mov
137.01	2.5	room7	room7_cond9_A.mov
140.04	3.5	nullosevent	room5_cond0_B.mov
143.01	2.5	room6	room6_cond5_A.mov
146.04	7.5	nullosevent	room4_cond0_B.mov
153.02	2.5	room2	room2_cond1_A.mov
156.04	3.5	nullosevent	room2_cond0_B.mov
159.02	2.5	room5	room5_cond6_A.mov
162	3.5	nullosevent	room6_cond0_B.mov
165.02	2.5	room4	room4_cond11_A_left.mov
168.04	3.5	nullosevent	room7_cond0_B.mov
171.02	2.5	room1	room1_cond13_A_left.mov
174	3.5	nullosevent	room3_cond0_B.mov
177.02	2.5	room8	room8_cond14_A_right.mov
180.05	5.5	nullosevent	room2_cond0_B.mov
185.02	2.5	room8	room8_cond7_A.mov
188	3.5	nullosevent	room7_cond0_B.mov
191.01	2.5	room3	room3_cond12_A_right.mov
194.05	5.5	nullosevent	room4_cond0_B.mov
199.01	2.5	room6	room6_cond7_A.mov
202	7.5	nullosevent	room5_cond0_B.mov
209.01	2.5	room1	room1_cond8_A.mov
212.04	5.5	nullosevent	room1_cond0_B.mov
217.01	2.5	fix	fix
219.51	3.5	nullosevent	room2_cond0_B.mov
223.01	2.5	room3	room3_cond4_A.mov
226.04	5.5	nullosevent	room5_cond0_B.mov
231.01	2.5	fix	fix
233.51	3.5	nullosevent	room7_cond0_B.mov
237.01	2.5	room4	room4_cond10_A.mov
240.04	3.5	nullosevent	room5_cond0_B.mov
243.01	2.5	room1	room1_cond4_A.mov
246	5.5	nullosevent	room6_cond0_B.mov
251.02	2.5	room2	room2_cond14_A_right.mov
254.04	3.5	nullosevent	room8_cond0_B.mov
257.02	2.5	room4	room4_cond8_A.mov
260	3.5	nullosevent	room7_cond0_B.mov
263.02	2.5	room3	room3_cond5_A.mov
266.03	5.5	nullosevent	room6_cond0_B.mov
271.02	2.5	fix	fix
273.52	7.5	nullosevent	room2_cond0_B.mov
281.02	2.5	room7	room7_cond3_A.mov
284.02	3.5	nullosevent	room5_cond0_B.mov
287.01	2.5	room3	room3_cond11_A_left.mov
290.03	3.5	nullosevent	room8_cond0_B.mov
293.01	2.5	room1	room1_cond2_A.mov
296.05	3.5	nullosevent	room6_cond0_B.mov
299.01	2.5	room5	room5_cond14_A_right.mov
302.03	3.5	nullosevent	room3_cond0_B.mov
305.01	2.5	room4	room4_cond5_A.mov
308.04	3.5	nullosevent	room7_cond0_B.mov
311.01	2.5	onebacktril	room4_cond5_A.mov
314.03	3.5	nullosevent	room1_cond0_B.mov
317.01	2.5	room8	room8_cond3_A.mov
320.04	3.5	nullosevent	room4_cond0_B.mov
323.01	2.5	room8	room8_cond7_A.mov
