onset	duration	trial_type	stimfile
0.0012374	15.017	fixation	unknown.txt
15.02	15.005	scramobj	unknown.txt
30.029	15.065	objects	unknown.txt
45.095	15.038	scenes	unknown.txt
60.135	15.022	faces	unknown.txt
75.159	15.006	fixation	unknown.txt
90.167	15.031	faces	unknown.txt
105.2	15.026	scenes	unknown.txt
120.23	15.008	scramobj	unknown.txt
135.24	15.074	objects	unknown.txt
150.32	15.017	fixation	unknown.txt
165.34	15.066	objects	unknown.txt
180.4	15.005	scramobj	unknown.txt
195.41	15.054	scenes	unknown.txt
210.47	15.028	faces	unknown.txt
225.5	15.016	fixation	unknown.txt
240.52	15.024	faces	unknown.txt
255.55	15.02	scenes	unknown.txt
270.57	15.073	objects	unknown.txt
285.64	15.005	scramobj	unknown.txt
300.65	15.009	fixation	unknown.txt
